frame_id,timestamp_s,ego_x,ego_y,ego_psi,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_scan_sec,memory_rss_mb
57,5.7,989.0658990328312,1012.3010617537515,-2.66103538546469,7,4,16,241,108,0,4.5900000259280205e-05,2282.51953125
58,5.8,988.5918049565817,1012.0429538908436,-2.62504672590469,7,1,4,241,0,0,4.020000051241368e-05,2282.51953125
59,5.9,988.1273048176237,1011.7679548309582,-2.58905806634469,5,4,16,241,112,0,4.3099993490614e-05,2282.51953125
60,6.0,987.6730001639968,1011.4764207099313,-2.5530694067846897,6,2,8,241,46,0,4.409999382914975e-05,2282.51953125
61,6.1,987.2294793401404,1011.168729077228,-2.51708074722469,6,1,4,241,0,0,4.220000118948519e-05,2282.51953125
62,6.2,986.7973167249613,1010.8452784069993,-2.4810920876646896,6,5,20,241,168,35,5.119999696034938e-05,2282.51953125
63,6.3,986.3770719879885,1010.5064875820401,-2.44510342810469,6,2,8,241,72,36,4.86999997519888e-05,2282.51953125
64,6.4,985.9692893645761,1010.1527953513186,-2.40911476854469,6,5,20,241,166,37,5.070000042906031e-05,2282.51953125
65,6.5,985.5744969510952,1009.7846597617762,-2.37312610898469,5,2,8,241,80,40,4.9700000090524554e-05,2282.51953125
66,6.6,985.1932060210253,1009.4025575651373,-2.33713744942469,5,2,8,241,80,40,4.999999509891495e-05,2282.51953125
67,6.7,984.8259103628334,1009.0069836004944,-2.3011487898646896,5,4,16,241,138,41,5.360000068321824e-05,2282.51953125
68,6.8,984.4730856404958,1008.5984501534705,-2.26516013030469,6,2,8,241,162,81,5.5500000598840415e-05,2282.51953125
69,6.9,984.1351887774929,1008.1774862927857,-2.22917147074469,6,5,20,241,230,84,5.789999704575166e-05,2282.51953125
70,7.0,983.8126573650725,1007.744637185091,-2.19318281118469,6,2,8,241,170,85,5.539999983739108e-05,2282.51953125
71,7.1,983.5059090955507,1007.3004633889535,-2.1571941516246906,6,2,8,241,164,82,7.20999960321933e-05,2282.51953125
72,7.2,983.2153412213818,1006.8455401289076,-2.1212054920646897,6,4,16,241,218,80,5.920000694459304e-05,2282.51953125
73,7.3,982.9413300406986,1006.380456550515,-2.08521683250469,6,3,12,241,156,78,6.819999543949962e-05,2282.5234375
74,7.4,982.6842304099905,1005.9058149573949,-2.04922817294469,6,4,16,241,216,77,5.789999704575166e-05,2282.5234375
75,7.5,982.4443752845482,1005.4222300312144,-2.01323951338469,6,2,8,241,154,77,5.4700001783203334e-05,2282.5234375
76,7.6,982.2220752872723,1004.9303280356493,-1.9772508538246905,7,3,12,241,148,74,8.05000017862767e-05,2282.5234375
77,7.7,982.0176183064029,1004.4307460053443,-1.94126219426469,7,3,12,241,206,97,5.94000011915341e-05,2282.5234375
78,7.8,981.831269122692,1003.924130920926,-1.9052735347046903,6,3,12,241,142,71,6.44999963697046e-05,2282.5234375
79,7.9,981.6632690665003,1003.4111388711343,-1.8692848751446902,6,3,12,241,184,87,5.7000004744622856e-05,2282.5234375
80,8.0,981.5138357052642,1002.8924342031589,-1.8332962155846901,6,3,12,241,100,50,5.0199996621813625e-05,2282.5234375
81,8.1,981.3831625617364,1002.3686886622801,-1.79730755602469,6,3,12,241,120,55,7.510000432375818e-05,2282.5234375
82,8.2,981.2714188633653,1001.8405805219298,-1.7613188964646904,7,4,16,241,46,23,4.9700000090524554e-05,2282.5234375
83,8.3,981.1787493231382,1001.3087937052975,-1.72533023690469,7,3,12,241,94,47,5.849999433849007e-05,2282.5234375
84,8.4,981.1052739521714,1000.7740168996195,-1.6893415773446898,7,4,16,241,74,37,4.890000127488747e-05,2282.5234375
85,8.5,981.051087904291,1000.2369426642991,-1.6533529177846902,7,4,16,241,60,30,4.819999594474211e-05,2282.52734375
86,8.6,981.0162613528039,999.6982665340117,-1.61736425822469,7,4,16,241,52,26,5.040000542066991e-05,2282.52734375
87,8.7,981.0008393996208,999.1586861179569,-1.5813755986646905,8,5,20,241,48,24,4.890000127488747e-05,2282.52734375
88,8.8,981.0048420168471,998.618900196424,-1.54538693910469,8,5,20,241,42,21,4.7599998652003706e-05,2282.52734375
89,8.9,981.028264020918,998.0796078158406,-1.5093982795446899,8,6,24,241,36,18,4.8499998229090124e-05,2282.52734375
90,9.0,981.0710750793116,997.5415073834779,-1.4734096199846902,8,6,24,241,30,15,5.020000389777124e-05,2282.52734375
91,9.1,981.1332197498309,997.005295762981,-1.4374209604246901,8,4,16,241,22,11,4.4699998397845775e-05,2282.52734375
92,9.2,981.2146175524036,996.4716673719014,-1.4014323008646905,8,6,24,241,14,7,5.490000330610201e-05,2282.52734375
93,9.3,981.3151630733076,995.9413132823951,-1.36544364130469,8,4,16,241,6,3,4.389999958220869e-05,2282.52734375
94,9.4,981.4347261016865,995.4149203262542,-1.32945498174469,9,6,24,241,0,0,4.629999602911994e-05,2282.52734375
95,9.5,981.5731517981776,994.8931702054293,-1.2934663221846903,8,5,20,241,0,0,4.6799999836366624e-05,2282.52734375
96,9.6,981.7302608954368,994.3767386091959,-1.2574776626246902,8,7,28,241,14,0,4.649999755201861e-05,2282.52734375
97,9.7,981.9058499302969,993.8662943391067,-1.2214890030646905,8,5,20,241,0,0,4.410000110510737e-05,2282.52734375
98,9.8,982.0996915072614,993.3624984428652,-1.18550034350469,9,7,28,241,0,0,5.499999679159373e-05,2282.52734375
99,9.9,982.3115345929917,992.8660033582389,-1.14951168394469,9,5,20,241,0,0,6.479999865405262e-05,2282.52734375
100,10.0,982.5411048414065,992.3774520681243,-1.1135230243846903,9,6,24,241,0,0,8.910000178730115e-05,2282.52734375
101,10.1,982.788104948972,991.8974772678561,-1.0775343648246902,10,8,32,241,0,0,9.180000051856041e-05,2282.52734375
102,10.2,983.0522150397222,991.4267005458383,-1.0415457052646906,10,7,28,241,0,0,7.639999967068434e-05,2282.53125
103,10.3,983.3330930795136,990.965731578561,-1.00555704570469,10,7,28,241,2,0,7.139999797800556e-05,2282.53125
104,10.4,983.6303753189733,990.5151673410412,-0.9695683861446899,10,9,36,241,20,0,7.579999510198832e-05,2282.53125
105,10.5,983.9436767645709,990.0755913337156,-0.9335797265846904,9,7,28,241,6,0,6.990000110818073e-05,2282.53125
106,10.6,984.2725916772021,989.6475728267808,-0.8975910670246902,9,7,28,241,0,0,7.48999955249019e-05,2282.53125
107,10.7,984.6166940976381,989.2316661229638,-0.8616024074646907,8,6,24,241,12,0,6.859999848529696e-05,2282.53125
108,10.8,984.9755383981621,988.8284098396758,-0.8256137479046901,8,7,28,241,10,5,7.829999958630651e-05,2282.53125
109,10.9,985.3486598596766,988.4383262114789,-0.7896250883446899,8,6,24,241,38,11,0.00014340000052470714,2282.53125
110,11.0,985.735575273534,988.0619204137694,-0.7536364287846904,7,5,20,241,32,16,7.550000009359792e-05,2282.53125
111,11.1,986.1357835673149,987.6996799085538,-0.7176477692246903,6,5,20,241,64,22,8.359999628737569e-05,2282.53125
112,11.2,986.5487664537369,987.3520738131635,-0.6816591096646907,6,5,20,241,56,28,7.43000055081211e-05,2282.53125
113,11.3,986.9739891018606,987.0195522927285,-0.6456704501046897,6,5,20,241,84,26,7.280000136233866e-05,2282.53125
114,11.4,987.4109008297187,986.7025459771921,-0.6096817905446904,6,5,20,241,56,23,0.00010710000060498714,2282.53125
115,11.5,987.8589358174733,986.4014654036281,-0.5736931309846904,6,5,20,241,82,19,9.250000584870577e-05,2282.53125
116,11.6,988.3175138401772,986.1167004845757,-0.5377044714246902,6,2,8,241,0,0,8.569999772589654e-05,2282.53515625
117,11.7,988.7860410191909,985.848620003087,-0.5017158118646903,7,6,24,241,78,4,9.090000094147399e-05,2282.53515625
118,11.8,989.2639105912816,985.5975711351356,-0.4657271523046901,7,2,8,241,0,0,8.169999637175351e-05,2282.53515625
119,11.9,989.7505036944078,985.3638790000092,-0.42973849274469017,7,4,16,241,32,0,8.480000542476773e-05,2282.53515625
120,12.0,990.2451901691729,985.1478462392661,-0.39374983318469003,7,2,8,241,0,0,8.009999874047935e-05,2282.53515625
121,12.1,990.7473293749094,984.9497526248001,-0.3577611736246899,7,6,24,241,74,0,8.759999764151871e-05,2282.53515625
122,12.2,991.2562710193365,984.7698546965249,-0.3217725140646907,8,3,12,241,32,0,8.319999324157834e-05,2282.53515625
123,12.3,991.7713560007171,984.6083854301427,-0.28578385450468974,8,4,16,241,48,8,8.859999798005447e-05,2282.53515625
124,12.4,992.2919172614236,984.4655539354308,-0.24979519494468969,9,4,16,241,78,19,8.840000373311341e-05,2282.53515625
125,12.5,992.8172806518063,984.3415451854354,-0.2138065353846905,8,4,16,241,96,31,9.1200003225822e-05,2282.53515625
126,12.6,993.3467658032474,984.236519776923,-0.17781787582469039,7,4,16,241,168,43,9.31999966269359e-05,2282.53515625
127,12.7,993.879687009268,984.1506137224014,-0.1418292162646903,7,4,16,241,136,54,9.639999916544184e-05,2282.53515625
128,12.8,994.4153541135474,984.0839382739763,-0.10584055670469025,8,5,20,241,268,65,0.00010089999705087394,2282.53515625
129,12.9,994.9530734037069,984.0365797792759,-0.06985189714469016,9,5,20,241,128,64,0.00010069999552797526,2282.53515625
130,13.0,995.4921485096967,984.0085995696267,-0.033863237584690085,9,7,28,241,230,61,0.00013749999925494194,2282.53515625
131,13.1,996.0318813056261,984.0000338806266,0.0021254219753099987,9,4,16,241,116,58,0.00016070000128820539,2282.53515625
132,13.2,996.5715728138673,984.0108938052182,0.03811408153530919,9,6,24,241,226,56,0.00011169999925186858,2282.53515625
133,13.3,997.110524110262,984.0411652793232,0.07410274109531016,9,4,16,241,104,52,0.00013699999544769526,2282.53515625
134,13.4,997.6480372292581,984.0908091000558,0.11009140065531026,9,5,20,241,232,51,0.00010299999848939478,2282.53515625
135,13.5,998.1834160678068,984.1597609764922,0.14608006021530945,9,4,16,241,94,47,0.0001097999993362464,2282.53515625
136,13.6,998.7159672868457,984.2479316129302,0.1820687197753095,9,5,20,241,214,43,9.989999671233818e-05,2282.5390625
137,13.7,999.2450012092041,984.355206824531,0.2180573793353096,10,5,20,241,128,40,9.719999798107892e-05,2282.5390625
138,13.8,999.7698327127641,984.4814476851935,0.2540460388953097,9,5,20,241,126,10,0.00011760000052163377,2282.5390625
139,13.9,1000.2897821177247,984.6264907074699,0.29003469845530977,9,4,16,241,70,9,9.530000534141436e-05,2282.5390625
140,14.0,1000.8041760668162,984.7901480542889,0.32602335801530985,9,4,16,241,100,7,9.139999747276306e-05,2282.5390625
141,14.1,1001.3123483973283,984.9722077822131,0.36201201757530993,9,4,16,241,124,49,0.00010109999857377261,2282.5390625
142,14.2,1001.8136410038189,985.1724341159148,0.39800067713530907,10,4,16,241,120,54,0.00012509999942267314,2282.5390625
143,14.3,1002.3074046903905,985.3905677535159,0.43398933669531004,10,4,16,241,254,122,0.0001205000007757917,2282.5390625
