frame_id,timestamp_s,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_build_sec,time_total_sec,memory_rss_mb,engine
19,1.9,8,8,32,241,7712,241,9.829999908106402e-05,0.007436499996401835,2297.5234375,vanilla
20,2.0,8,8,32,241,7712,241,0.0001216000018757768,0.007400700000289362,2297.52734375,vanilla
21,2.1,8,8,32,241,7712,241,0.0001036000030580908,0.007618000003276393,2297.52734375,vanilla
22,2.2,8,8,32,241,7712,241,0.0001205000007757917,0.007340700001805089,2297.52734375,vanilla
23,2.3,7,7,28,241,6748,241,8.760000491747633e-05,0.006579000000783708,2297.53125,vanilla
24,2.4,8,8,32,241,7712,241,0.00010579999798210338,0.007358700000622775,2297.5390625,vanilla
25,2.5,8,8,32,241,7712,241,0.00010059999476652592,0.007377900001301896,2297.546875,vanilla
26,2.6,7,7,28,241,6748,241,9.839999984251335e-05,0.006489400002465118,2297.55078125,vanilla
27,2.7,7,7,28,241,6748,210,9.219999628840014e-05,0.006498499998997431,2297.55859375,vanilla
28,2.8,7,7,28,241,6748,131,0.00010359999578213319,0.0064025999963632785,2297.56640625,vanilla
29,2.9,7,7,28,241,6748,118,8.940000407164916e-05,0.006328900002699811,2297.57421875,vanilla
30,3.0,7,7,28,241,6748,107,8.959999831859022e-05,0.0066246999995200895,2297.57421875,vanilla
31,3.1,7,7,28,241,6748,104,9.73999995039776e-05,0.006404899999324698,2297.578125,vanilla
32,3.2,7,7,28,241,6748,99,0.00010509999992791563,0.006436499999836087,2297.58203125,vanilla
33,3.3,6,6,24,241,5784,88,7.390000246232376e-05,0.0055479999937233515,2297.58984375,vanilla
34,3.4,6,6,24,241,5784,79,7.639999967068434e-05,0.005469699994137045,2297.58984375,vanilla
35,3.5,6,6,24,241,5784,72,8.70000003487803e-05,0.005629600003885571,2297.59375,vanilla
36,3.6,6,6,24,241,5784,67,0.00011110000195913017,0.005504799999471288,2297.59375,vanilla
37,3.7,6,6,24,241,5784,62,7.769999501761049e-05,0.00564460000168765,2297.59765625,vanilla
38,3.8,6,6,24,241,5784,58,8.169999637175351e-05,0.005558799995924346,2297.6015625,vanilla
39,3.9,6,6,24,241,5784,55,7.420000474667177e-05,0.005568200002016965,2297.6015625,vanilla
40,4.0,7,7,28,241,6748,52,8.510000043315813e-05,0.006707499996991828,2297.609375,vanilla
41,4.1,7,7,28,241,6748,50,0.00012489999789977446,0.006397400000423659,2297.609375,vanilla
42,4.2,7,7,28,241,6748,48,0.00010400000610388815,0.006473699999332894,2297.61328125,vanilla
43,4.3,7,7,28,241,6748,45,0.00020699999731732532,0.006587100004253443,2297.62109375,vanilla
44,4.4,7,7,28,241,6748,44,0.00010630000178935006,0.006487799997557886,2297.625,vanilla
45,4.5,7,7,28,241,6748,42,9.339999814983457e-05,0.006535699998494238,2297.63671875,vanilla
46,4.6,7,7,28,241,6748,45,0.0001182000050903298,0.006383199994161259,2297.63671875,vanilla
47,4.7,7,7,28,241,6748,48,9.500000305706635e-05,0.006407100001524668,2297.640625,vanilla
48,4.8,7,7,28,241,6748,50,8.879999950295314e-05,0.006392300005245488,2297.64453125,vanilla
49,4.9,6,6,24,241,5784,49,7.380000170087442e-05,0.005561100006161723,2297.65625,vanilla
50,5.0,6,6,24,241,5784,48,0.00011110000195913017,0.006259299996600021,2297.65625,vanilla
51,5.1,6,6,24,241,5784,48,0.00012620000052265823,0.00555490000260761,2297.65625,vanilla
52,5.2,6,6,24,241,5784,37,8.53000019560568e-05,0.006255499996768776,2297.65625,vanilla
53,5.3,6,6,24,241,5784,36,0.00019359999714652076,0.005727599993406329,2297.6640625,vanilla
54,5.4,6,6,24,241,5784,22,9.619999764254317e-05,0.005576299998210743,2297.66796875,vanilla
55,5.5,6,6,24,241,5784,25,8.089999755611643e-05,0.005628399994748179,2297.671875,vanilla
56,5.6,6,6,24,241,5784,34,9.359999967273325e-05,0.005629100000078324,2297.67578125,vanilla
57,5.7,7,7,28,241,6748,41,0.00014519999967887998,0.006346400004986208,2297.6796875,vanilla
58,5.8,7,7,28,241,6748,45,0.00010259999544359744,0.0064016000033007,2297.6796875,vanilla
59,5.9,5,5,20,241,4820,49,7.310000364668667e-05,0.004653399999369867,2297.68359375,vanilla
60,6.0,6,6,24,241,5784,51,7.870000263210386e-05,0.005457400002342183,2297.68359375,vanilla
61,6.1,6,6,24,241,5784,53,7.46000005165115e-05,0.005631299995002337,2297.68359375,vanilla
